cell,encoding
DFFR_X2,ad2ab8ad2ai8cb3bd6aa0ac6bh2bg2aa6aa7aa0aa7ag5ba1aa2ab8cb3ac2ac1ac2ac6ac2af9ad6bd7ac2ca1ae9aa0af4bd5ag1ai1aa0ac0ac1bc5ah0af1aa0bj2ah0
DFFS_X1,bg6ab2bg6ac6ae8af5bd4be1aa0ac6ad6af9ac2bd8ab2ae9ad9bd8ai8bf1bg8ad0be4bd1ad9af5ca4ab2be4aa0ad9af7ac2bh2aj6af3aa0ac7
DFFS_X2,ad2ac6ad2ac6ae8cb2af5be1ae8be2ad9ae8ac6bf5ac2af9ad6ai8af9ad6ad0be4bd1ad9aj0ca4ac6be4ad5ah6aa0ba6aa3ah6aa0ba6aa3ca9
DFF_X1,bc2cb1ag7ac1bc8bg2aa0ah8aa0ag5af5bj1aa0ag8cb6ab2ca1ae0ab2af7aa0bj1be5ab9aa0bc2
DFF_X2,ab3be1ac6bc8ac6be1ac6bd1ac6aa7aa9ac6bi6cb6ab2bh8ac2ab2bh8aa0bi3af3ah6af3aa0bc2bi3
DLH_X1,ad3aa0bf6aj4aj6af7bc8aa0ca1aa0ca2bf8be2bc8aj0be2ai8be2
DLH_X2,ad3aa0ae7ah1aj6ai5be5aj4aa0ba5aa0ca5ac2aj0ah8ae8ah8
DLL_X1,bf5ac6ae0bf5bd1ae8bf5aa0bf5bc8bh1ah1ae7aa0ad3
DLL_X2,ai7cb6ae8ac1ab6aa6ab2ab6cb2aa0ab6bc8bj3aj1aa3ba6aa0ad3
FA_X1,bc0aa0bc9ad2aa0ad2ag3aa6ah8ad3aj9af5ad3aa0ac3ag3bc6ad3ai8ad3aa0ab8ab2aa3ba6aa0bc0
HA_X1,be3aa0bh2aa0ca7aa0ca7ab2aa6aa0bi9be0ai2aa9ca7aa0aa1
INV_X16,bg7aa0cb0bb8ac8bb8ac8bb8ba6aa0ac8bb8ac8bb8ba6aa0ab5ac8bb8ac8bb8ac8aa0bg7
INV_X1,aa1ag2aa0aa1
INV_X2,aa1ag2aa0aa1
INV_X32,ah0af1aa0ab1ac3ab1ac3ab1ac3ai1aa0ab1ac3ab1ac3ab1ac3ai1aa0ab1ae8ac3ab1ac3ab1ac3ai1aa0ab1ae8ac3ab1ac3ab1ac3ai1aa0ab1ae8ac3ab1ac3ab1ac3ai1aa0ab1af0ah0
INV_X4,aa1ag2aa0ac9aa1ab5ac9aa1
INV_X8,ac5aa0ac9ac5ac9ac5ac9ac5ac9ac5
LOGIC0_X1,ae3ab0ag5ae3
LOGIC1_X1,ae3ae2bh2ae3
MUX2_X1,aj4aa0ah1aa0ba5ag7aa0bh4bb2aa0ad7
MUX2_X2,ai7aa0ad5aa0ca7aa0ad6aa0ab5ba0aa0aa4ba0aa0ab0
NAND2_X1,aa1ag2aa0aa2aa0ag2aa1
NAND2_X2,af8aa0aa2aa0ah5aa2aa0ab4
NAND2_X4,ab4aa6ai6aa0ah5ab4ai6ab4bf8bj9aa0ah1bf8ab4
NAND3_X1,aa1aa0aa2aa0aa2aj7aa0aa1
NAND3_X2,ag6aa0aa2aa0ad1aa0ae4aa2ad1aa0aa2aa0ag0
NAND3_X4,bb8aa0af4aa0ah9ad7bb7aa0ah9aa0af4bb8bj5af4aa0ah9ab1bb7ah9aa0af4ab1aa0bb8
NAND4_X1,cb4aa0aa2aa0aa2aj7aa0aa2aa0ag2aa1
NAND4_X2,bd1aa0ai0aa0ae0aa0ai0bd1bb2ai0aa0ae0aa0ai0aa0cb5
NAND4_X4,ac7ae6aa0ag9ae6ac7ae6aa7aa0ag9bi0bc5af2bc5bi0ag9aa0ae6ac7ah0ac7aa0ah0ac7
NOR2_X1,aa1ag2aa0ab5aa0ag2aa1
NOR2_X2,ag6aa0af2aa0aj7bh3af2aa0ag0
NOR2_X4,aj5aa0ad9bg9aa0ad9bc7ad9aa0ac0bg9ad9aa0aj5
NOR3_X1,aa1ag2aa0ab5aa0ah9aa0ac8
NOR3_X2,ac3aa0aa7aa0ac0cb6bi6ac0aa0aa7aa0ah0
NOR3_X4,aa8ac4aa5aj2ac4aa5ab5ac4aa5aj2ac4aa5aa8aj2aa0aa8
NOR4_X1,aa1aa0ab5aa0aa6aa0ab5aa0ag2aa1
NOR4_X2,aa3aa0af2aa0ac0aa0af2bf2bj6af2aa0ac0aa0ab5aa0ah0
NOR4_X4,aa5ac4aa5aj2ac4aa5ab5aa8ba8ab7aa8ba8ac4aa5ac4aa0aa5aa8aa5aa8bf3aa5aa8
OAI211_X1,ab4ah5aa0ae9aa0ac9aa0ad1aa0bg5
OAI211_X2,ba4aa0aa2bf4aa0aa2aj7aa0af8aa0ag4ab0bf6ag4aa0ba4
OAI211_X4,af8aa0aa2bc7aa2af8bf4aa2bc7aa2aa0af8aa0aa7bh4bb2aa7ae7aa7bb2aa7aa0ah1
OAI21_X1,aa1ag2aa0ae9aa0ag2aa1aa0ab9
OAI21_X2,ab4aa0aa6ab0ab4aa0ab6bh4bb2ab6aa0ah1
OAI21_X4,ab4aa6bj8ab4ah5aa0bj8ah1aa0aa7ba7bf0aa7ae7aa7bf0aa7aa0ah1
OAI221_X1,ab4aa0aa6aa0ab5aa1aa0ad1ab4ah5aa0bd5aa0ag2aa1
OAI221_X2,bf2aa0ag4bd9ag4aa0bf2aa0ai0bd0aa0ah9ag4aj8ah9aa0bd0aa0af6
OAI221_X4,be0aa0ae9aa0af8aa0be0aa6aa0ac0af2aa0ag6aa0ab9ah7aj7aa0ab9
OAI222_X1,ab4aa0ab5aa0ah9af5ag4aa0aa6aa0ab4ah5aa0bd5aa0ai7
OAI222_X2,aa1aa0aa6ah5aa6aa0aa1aa0cb9ae7cb9aa0bh4ab5aa0aa7ae7aa0aa7aa0bh4aa2
OAI222_X4,be9aa0aa7aa0ah1aa0af5aa0bf8ah9aa0af5aa0ag6bc7aa0ab5ah7aj7aa0aa1aa2aa1
OAI22_X1,ab9aa0ac0aa0ai9aa0ag4aa0ab9
OAI22_X2,bf9aa0aa6ab5ag2aa6aa0bf9aa0ag4bd1bb2aa0ag4aa0ah1
OAI22_X4,af8aa0ac0aa0bc9ac0bf4ac0bc9ac0aa0ah1aa0aa7ah2aa7ah1ae7aa7ah2aa7aa0ah1
OAI33_X1,ah7aj7aa0bc6aa0ac0aa0bf7aa0ab6aa0bc6aa0ag2aa1
OR2_X1,bb9aa0aa6aa0bb9bf6aa0bc3
OR2_X2,aa1aa0ab5aa0af8ae7aa0aa1
OR2_X4,bf9ah5aa0ab5aa0aa6ab0ab5aa0af8ae7aa0be9bf9be9bf9
OR3_X1,bb9aa0aa6aa0aa6aa0bb9bf6aa0bc3
OR3_X2,aa1aa0aa6aa0ab5aa0ab0bf6aa0aa1
OR3_X4,ag0aa0af2aa0ac0ae4aa2ac0aa0af2aa0ag6aa0ae5ag0aa9ae5ag0
OR4_X1,bb9aa0aa6aa0aa6aa0aa6aa0bb9bf6aa0bc3
OR4_X2,aa1aa0ab5aa0aa6aa0ab5aa0ab0bf6aa0aa1
OR4_X4,ah4aa0ab5aa0ac0aa0ac2ac0bj6ac2aa0ac0aa0ab5aa0bg7aa0aa1ah4ab5aa1ah4
SDFFRS_X1,bc2aa0bj5ac0ad0af7aa0af5aa0ca5ac2aa0aa9ca5ac2aa0ae9af0ab2ae0cb3ab8ag4ab8aa7cb3bb1ca1ad0aa0ab8ae0bd8af7aa7bb1ag5af0aa7cb1ag5ae8aa0ae3ab2af5bh8af9ac6ae8ag1bd5ad3
SDFFRS_X2,ae5ac4aa0ai1ac3ah6ac2ai1aa0cb9ca3bc6ah8aa6af0ca3ad6ca3ah8ac2bg3ae0bc1af9cb9bg8ac1ac2af9bb1af9ai8ae8bf5aa6ae8ba5bc6ca2bc6ab6bd8ac6aa0ca7ac6af5ab6ac6aa0ab8ah9ac6aa6
SDFFR_X1,bg5aa0af3bi7ad3aa0bi5ba0ag7ad9aj0ad5bb1af7ac2ac6bg8bc8ac2af2ba5ac2bf8ac2ai8aa9bg2bh2aa7cb2bh6aa6ad6ag5ab2ac2aj0ah8bd7ac2ah8ai8ca3af7ac6af5ac6af8ac6ad2
SDFFR_X2,bd4aa3ba6aa0aj1aa3ba6aa0aj1ad5ac2ag7ai0ac1ad5ad9bb1ad9ab2bc8ac2af2ai8aa7ag4ae9ac1bd8ae9aa7cb2bh6aa6ad6ag5ac1ac2aj0ah8cb3bb1ac2ah8ad0ca3bf4ad9ac6af5aj0ag6ca3ad2
SDFFS_X1,ab0ab2af8ab2af5bd2ag7ab8af8ag3ab0cb2ca8ai8ah1ac6ag3aa7bh5aa9ab8bd1bd7bc8ad9ag4ca5ac2bb1ca5aa0bd7ca5bb1aa2aa0aa2bh9bh3aj7aa0aa1
SDFFS_X2,be8ca2ad5ad0bc8ag7aj0ca7ag7ad6be8aa0ca8ag7ad5ca2ai8aa7bb1ae0ab8ae0bd5be8bh5ad9ca4ad0aa0ad9aa9ag7ad4be8ag4be8aa0ad4aa0be3be5be3aa0be5be3
SDFF_X1,ad7aa0ah5ab4aa4ai2aa0ac2ae8bd7bc1bc6bb1ai4ac1ad2ac1bg1bd8bb1af9ad4ag4bj2af9ab2ah9ab6af4ai2aa6ag6aa0ca3ai2ac6af5ab8bd3ab2ai2
SDFF_X2,bh7ag6bc7aa0be5ag6bc7aa0bc5ba5bd5ba5ai4ad2ai8aj3bb1af9ag3ae8af9bj2bc5ag4ac0af9ab6aj3ba0ab8aj0bb9af5ab8aj9ca3ad3
TBUF_X16,aa3ag3ai4ab6aa3ab3aa3ai9ab3aa3ab6ab3aa3ai9ab3aa3ab6ab3aa3ab3aa3ab3aa3aa0bc6ab6aj8aa0bc6aa0aa3aa0ac2ac0ba3ac2aa0aa3ae5
TBUF_X1,aa1ai4be3ab6aj0ac1bc8bc6ai8ab6bg8bc6ad5bd7ab6bj7aa2
TBUF_X2,ai5ad6ai4ai5ab2aa0bd1aa0ac0ca0ag1bd5ag4aa0ai1ae7ag1bd1ca3ab0
TBUF_X4,bi1be2aa3ag3be2ac1aa3aa0ab2ad5aa0bj6bi0bd5ba3aa0be8
TBUF_X8,bb0ba9bb0ba9bh3ba9bg8ag3bh3bf1ac1bj3aa0aa2bd0aa0aa2aa0be3aa0ac2aa0ba3ac0ab8ac2aa0aa6ba0ba9
TINV_X1,ad3ac1ac3ag3ai4bc3
TLAT_X1,aj4ae8ba5ag3aj4ba4ad0ae8ba5ae8ba5ae8ba5aj4ac6aj4ai4ab9
XNOR2_X1,ae3ab8ae0ag7aa6ae3aa0ae3aa0aa7aa0ae3
XNOR2_X2,ca5bi2ac3aa0ac6ag1be7af0ab6bi5aa0ca5
XOR2_X1,ae3ad0aa6ag7aa6aa0ae3aa0ad9aa0ae3
XOR2_X2,bf2bj6aa0af5aa0ba6aa3aa0bd1aa0af0bd1bj5af0cb2aa0bh5aa0ba6bi1
